package_number,package_id,profile,group_name,video_position,video_count,video_id,actual_title,clean_title,channel,transcript_status,evidence_grade,upload_file
1,vh_full_intelligence_20260904_090655_2e462f,FULL_INTELLIGENCE,"AI tools, content creation, and creator monetization",1,10,-wJpoCmMcCY,Don't Buy AI Tools! Use These 8 FREE Google Alternatives Instead,Don't Buy AI Tools Use These 8 FREE Google Alternatives Instead,WsCube Tech,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090655_2e462f\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260904_090655_2e462f,FULL_INTELLIGENCE,"AI tools, content creation, and creator monetization",2,10,31bZOIk53_I,FREE Unlimited AI Voices | Better Than ElevenLabs (Microsoft Banned It),FREE Unlimited AI Voices Better Than ElevenLabs (Microsoft Banned It),Helena Liu,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090655_2e462f\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260904_090655_2e462f,FULL_INTELLIGENCE,"AI tools, content creation, and creator monetization",3,10,IiOKhg4RUrw,Learn AI Filmmaking in 8 Minutes | (Full Step-By-Step Workflow),Learn AI Filmmaking in 8 Minutes (Full Step-By-Step Workflow),The Bhavya Shah,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090655_2e462f\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260904_090655_2e462f,FULL_INTELLIGENCE,"AI tools, content creation, and creator monetization",4,10,QucgvbO5gsM,Free AI Tools So Good They're Making Paid Versions Obsolete,Free AI Tools So Good They're Making Paid Versions Obsolete,Vaibhav Sisinty,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090655_2e462f\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260904_090655_2e462f,FULL_INTELLIGENCE,"AI tools, content creation, and creator monetization",5,10,SDJD85dLWwk,"The Only Free AI Tool Everyone Should Use, and it is Open Source","The Only Free AI Tool Everyone Should Use, and it is Open Source",Hasan Aboul Hasan,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090655_2e462f\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260904_090655_2e462f,FULL_INTELLIGENCE,"AI tools, content creation, and creator monetization",6,10,TazjcZrTl7Y,"FREE UNLIMITED Claude Code (No NVIDIA NIM, No Ollama!) - Fastest Responses [2026]","FREE UNLIMITED Claude Code (No NVIDIA NIM, No Ollama ) - Fastest Responses [2026]",Danish Sofi,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090655_2e462f\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260904_090655_2e462f,FULL_INTELLIGENCE,"AI tools, content creation, and creator monetization",7,10,V_t51u1tBJc,"How I Make $24,937/mo Posting YouTube Shorts (Using Claude AI)","How I Make $24,937 mo Posting YouTube Shorts (Using Claude AI)",Kellan Henneberry,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090655_2e462f\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260904_090655_2e462f,FULL_INTELLIGENCE,"AI tools, content creation, and creator monetization",8,10,_9YXliQTAkg,How To Create VOX STYLE Animation 100% FREE (NO PAID TOOLS),How To Create VOX STYLE Animation 100% FREE (NO PAID TOOLS),Mark Ai Guy,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090655_2e462f\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260904_090655_2e462f,FULL_INTELLIGENCE,"AI tools, content creation, and creator monetization",9,10,_uLdo-Buoz8,Create This New Ai Niche & Go Viral In 48hrs | 100% FREE Tools,Create This New Ai Niche & Go Viral In 48hrs 100% FREE Tools,Mark Ai Guy,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090655_2e462f\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260904_090655_2e462f,FULL_INTELLIGENCE,"AI tools, content creation, and creator monetization",10,10,kYPAlvnRiiI,"Claude + ChatGPT = $57,152 In 90 Days","Claude + ChatGPT = $57,152 In 90 Days",Kellan Henneberry,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090655_2e462f\CHATGPT_PACKAGE.json
2,vh_full_intelligence_20260904_090656_0b922a,FULL_INTELLIGENCE,"Acne, pigmentation, dark spots, and dark circles",1,5,0FdtR6dRyBw,"How to Look Younger for your age? (Hair fall, Pigmentation, Dark Circles, Body pain and more)","How to Look Younger for your age (Hair fall, Pigmentation, Dark Circles, Body pain and more)",Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_0b922a\CHATGPT_PACKAGE.json
2,vh_full_intelligence_20260904_090656_0b922a,FULL_INTELLIGENCE,"Acne, pigmentation, dark spots, and dark circles",2,5,1kIVVEeivy0,"How to Remove Dark Spots and Get Clear Skin? (Pigmentation, Dark Underarms, Acne scars & more)","How to Remove Dark Spots and Get Clear Skin (Pigmentation, Dark Underarms, Acne scars & more)",Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_0b922a\CHATGPT_PACKAGE.json
2,vh_full_intelligence_20260904_090656_0b922a,FULL_INTELLIGENCE,"Acne, pigmentation, dark spots, and dark circles",3,5,Mu3vP4GfRE0,"सिर्फ 7 दिन में कितनी भी पुरानी झाइयां, काले दाग धब्बे 100% जड़ से खत्म करें | Fit Tuber","सिर्फ 7 दिन में कितनी भी पुरानी झाइयां, काले दाग धब्बे 100% जड़ से खत्म करें",Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_0b922a\CHATGPT_PACKAGE.json
2,vh_full_intelligence_20260904_090656_0b922a,FULL_INTELLIGENCE,"Acne, pigmentation, dark spots, and dark circles",4,5,NyEOHULKxz4,How to get rid of ACNE & PIMPLES Fast (Naturally),How to get rid of ACNE & PIMPLES Fast (Naturally),Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_0b922a\CHATGPT_PACKAGE.json
2,vh_full_intelligence_20260904_090656_0b922a,FULL_INTELLIGENCE,"Acne, pigmentation, dark spots, and dark circles",5,5,YiPiB7hwxGc,ULTIMATE Ayurvedic Routine to Get Rid of Pimples & Acne Permanently (Men & Women),ULTIMATE Ayurvedic Routine to Get Rid of Pimples & Acne Permanently (Men & Women),Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_0b922a\CHATGPT_PACKAGE.json
3,vh_full_intelligence_20260904_090656_242abe,FULL_INTELLIGENCE,Anti-ageing and youthful appearance,1,1,l5RZZe4h7T0,5 Anti Ageing Habits that You Should Inculcate in Your 20s/30s,5 Anti Ageing Habits that You Should Inculcate in Your 20s 30s,Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_242abe\CHATGPT_PACKAGE.json
4,vh_full_intelligence_20260904_090656_11d1ce,FULL_INTELLIGENCE,"Ayurvedic doshas, body types, and lifestyle routines",1,4,6ZUFT0CwU1w,The Only Diet Plan That Ayurveda Recommends (Men & Women),The Only Diet Plan That Ayurveda Recommends (Men & Women),Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_11d1ce\CHATGPT_PACKAGE.json
4,vh_full_intelligence_20260904_090656_11d1ce,FULL_INTELLIGENCE,"Ayurvedic doshas, body types, and lifestyle routines",2,4,SRX5qJTVZMY,10 Most Underrated Ayurvedic Habits for a Healthy Lifestyle (Easy & Effective),10 Most Underrated Ayurvedic Habits for a Healthy Lifestyle (Easy & Effective),Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_11d1ce\CHATGPT_PACKAGE.json
4,vh_full_intelligence_20260904_090656_11d1ce,FULL_INTELLIGENCE,"Ayurvedic doshas, body types, and lifestyle routines",3,4,bcZ9_kClq6I,10 Interesting & Useful Ayurvedic Facts About Your Body That You Should Know,10 Interesting & Useful Ayurvedic Facts About Your Body That You Should Know,Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_11d1ce\CHATGPT_PACKAGE.json
4,vh_full_intelligence_20260904_090656_11d1ce,FULL_INTELLIGENCE,"Ayurvedic doshas, body types, and lifestyle routines",4,4,wtVsFfFeYNs,Ultimate Ayurvedic Body Test in 5 Mins (Vata Pitta Kapha Explained),Ultimate Ayurvedic Body Test in 5 Mins (Vata Pitta Kapha Explained),Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_11d1ce\CHATGPT_PACKAGE.json
5,vh_full_intelligence_20260904_090656_0bd25d,FULL_INTELLIGENCE,"Ayurvedic herbs, remedies, tablets, and traditional practices",1,9,4V2-onCssQQ,Add 1 spoon of this Ayurvedic Herb to Tea and See the difference 🫀☕,Add 1 spoon of this Ayurvedic Herb to Tea and See the difference 🫀☕,Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_0bd25d\CHATGPT_PACKAGE.json
5,vh_full_intelligence_20260904_090656_0bd25d,FULL_INTELLIGENCE,"Ayurvedic herbs, remedies, tablets, and traditional practices",2,9,92MmoC7mtSc,Oil your Navel for 21 days & Results will Surprise You,Oil your Navel for 21 days & Results will Surprise You,Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_0bd25d\CHATGPT_PACKAGE.json
5,vh_full_intelligence_20260904_090656_0bd25d,FULL_INTELLIGENCE,"Ayurvedic herbs, remedies, tablets, and traditional practices",3,9,Krf7Vmsf2M0,5 Proven Foods to Reduce Body Heat (& Foods to Avoid),5 Proven Foods to Reduce Body Heat (& Foods to Avoid),Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260904_090644_7fb4e0\packages\vh_full_intelligence_20260904_090656_0bd25d\CHATGPT_PACKAGE.json
