package_number,package_id,profile,group_name,video_position,video_count,video_id,actual_title,clean_title,channel,transcript_status,evidence_grade,upload_file
1,vh_full_intelligence_20260905_162917_f2cfb8,FULL_INTELLIGENCE,AI tools and creator workflows,1,10,-wJpoCmMcCY,Don't Buy AI Tools! Use These 8 FREE Google Alternatives Instead,Don't Buy AI Tools Use These 8 FREE Google Alternatives Instead,WsCube Tech,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162917_f2cfb8\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260905_162917_f2cfb8,FULL_INTELLIGENCE,AI tools and creator workflows,2,10,31bZOIk53_I,FREE Unlimited AI Voices | Better Than ElevenLabs (Microsoft Banned It),FREE Unlimited AI Voices Better Than ElevenLabs (Microsoft Banned It),Helena Liu,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162917_f2cfb8\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260905_162917_f2cfb8,FULL_INTELLIGENCE,AI tools and creator workflows,3,10,IiOKhg4RUrw,Learn AI Filmmaking in 8 Minutes | (Full Step-By-Step Workflow),Learn AI Filmmaking in 8 Minutes (Full Step-By-Step Workflow),The Bhavya Shah,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162917_f2cfb8\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260905_162917_f2cfb8,FULL_INTELLIGENCE,AI tools and creator workflows,4,10,QucgvbO5gsM,Free AI Tools So Good They're Making Paid Versions Obsolete,Free AI Tools So Good They're Making Paid Versions Obsolete,Vaibhav Sisinty,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162917_f2cfb8\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260905_162917_f2cfb8,FULL_INTELLIGENCE,AI tools and creator workflows,5,10,SDJD85dLWwk,"The Only Free AI Tool Everyone Should Use, and it is Open Source","The Only Free AI Tool Everyone Should Use, and it is Open Source",Hasan Aboul Hasan,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162917_f2cfb8\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260905_162917_f2cfb8,FULL_INTELLIGENCE,AI tools and creator workflows,6,10,TazjcZrTl7Y,"FREE UNLIMITED Claude Code (No NVIDIA NIM, No Ollama!) - Fastest Responses [2026]","FREE UNLIMITED Claude Code (No NVIDIA NIM, No Ollama ) - Fastest Responses [2026]",Danish Sofi,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162917_f2cfb8\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260905_162917_f2cfb8,FULL_INTELLIGENCE,AI tools and creator workflows,7,10,V_t51u1tBJc,"How I Make $24,937/mo Posting YouTube Shorts (Using Claude AI)","How I Make $24,937 mo Posting YouTube Shorts (Using Claude AI)",Kellan Henneberry,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162917_f2cfb8\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260905_162917_f2cfb8,FULL_INTELLIGENCE,AI tools and creator workflows,8,10,_9YXliQTAkg,How To Create VOX STYLE Animation 100% FREE (NO PAID TOOLS),How To Create VOX STYLE Animation 100% FREE (NO PAID TOOLS),Mark Ai Guy,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162917_f2cfb8\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260905_162917_f2cfb8,FULL_INTELLIGENCE,AI tools and creator workflows,9,10,_uLdo-Buoz8,Create This New Ai Niche & Go Viral In 48hrs | 100% FREE Tools,Create This New Ai Niche & Go Viral In 48hrs 100% FREE Tools,Mark Ai Guy,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162917_f2cfb8\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260905_162917_f2cfb8,FULL_INTELLIGENCE,AI tools and creator workflows,10,10,kYPAlvnRiiI,"Claude + ChatGPT = $57,152 In 90 Days","Claude + ChatGPT = $57,152 In 90 Days",Kellan Henneberry,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162917_f2cfb8\CHATGPT_PACKAGE.json
2,vh_full_intelligence_20260905_162918_0e100d,FULL_INTELLIGENCE,Addiction and substance-use habits,1,2,AJz18CVg9Ww,How to Actually Get Over Porn Addiction (5 STEPS) ft. @SalilJamdarCo,How to Actually Get Over Porn Addiction (5 STEPS) ft,Fit Tuber,TRANSCRIPT_AVAILABLE,B,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162918_0e100d\CHATGPT_PACKAGE.json
2,vh_full_intelligence_20260905_162918_0e100d,FULL_INTELLIGENCE,Addiction and substance-use habits,2,2,WUWdVtbZrLQ,Weed vs Alcohol | Which is Better? (Myth Busted) ft.@beyounick,Weed vs Alcohol Which is Better (Myth Busted) ft,Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162918_0e100d\CHATGPT_PACKAGE.json
3,vh_full_intelligence_20260905_162918_d09fdc,FULL_INTELLIGENCE,"Ayurveda, herbs, doshas and rituals",1,12,4V2-onCssQQ,Add 1 spoon of this Ayurvedic Herb to Tea and See the difference 🫀☕,Add 1 spoon of this Ayurvedic Herb to Tea and See the difference 🫀☕,Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162918_d09fdc\CHATGPT_PACKAGE.json
3,vh_full_intelligence_20260905_162918_d09fdc,FULL_INTELLIGENCE,"Ayurveda, herbs, doshas and rituals",2,12,6ZUFT0CwU1w,The Only Diet Plan That Ayurveda Recommends (Men & Women),The Only Diet Plan That Ayurveda Recommends (Men & Women),Fit Tuber,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162918_d09fdc\CHATGPT_PACKAGE.json
3,vh_full_intelligence_20260905_162918_d09fdc,FULL_INTELLIGENCE,"Ayurveda, herbs, doshas and rituals",3,12,70zlJUqOwnQ,5 ancient methods that fixed my broken body fast,5 ancient methods that fixed my broken body fast,Liam Zollo,TRANSCRIPT_AVAILABLE,B,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260905_162825_1f49e9\packages\vh_full_intelligence_20260905_162918_d09fdc\CHATGPT_PACKAGE.json
