package_number,package_id,profile,group_name,video_position,video_count,package_transcript_chars,video_transcript_chars,split_reason,video_id,actual_title,clean_title,channel,transcript_status,evidence_grade,upload_file
1,vh_full_intelligence_20260906_155936_06618e,FULL_INTELLIGENCE,"Creator Workflows, DIY and Entertainment",1,18,205559,14270,parent_group_package_boundary,-wJpoCmMcCY,Don't Buy AI Tools! Use These 8 FREE Google Alternatives Instead,"8 Free Google AI Tools for Learning, Research, App Building, Automation, Design and Filmmaking",WsCube Tech,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260906_155925_b5700b\packages\vh_full_intelligence_20260906_155936_06618e\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260906_155936_06618e,FULL_INTELLIGENCE,"Creator Workflows, DIY and Entertainment",2,18,205559,10012,parent_group_package_boundary,31bZOIk53_I,FREE Unlimited AI Voices | Better Than ElevenLabs (Microsoft Banned It),Run a Free Local AI Voice Generator and Clone Your Own Voice,Helena Liu,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260906_155925_b5700b\packages\vh_full_intelligence_20260906_155936_06618e\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260906_155936_06618e,FULL_INTELLIGENCE,"Creator Workflows, DIY and Entertainment",3,18,205559,8587,parent_group_package_boundary,IiOKhg4RUrw,Learn AI Filmmaking in 8 Minutes | (Full Step-By-Step Workflow),"AI Filmmaking Workflow: Story, Shot References, Character Consistency, Video Generation and Finishing",The Bhavya Shah,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260906_155925_b5700b\packages\vh_full_intelligence_20260906_155936_06618e\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260906_155936_06618e,FULL_INTELLIGENCE,"Creator Workflows, DIY and Entertainment",4,18,205559,20550,parent_group_package_boundary,QucgvbO5gsM,Free AI Tools So Good They're Making Paid Versions Obsolete,"10 Free or Open AI Tools for Video, Images, Voice, Coding, Meetings and Editing",Vaibhav Sisinty,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260906_155925_b5700b\packages\vh_full_intelligence_20260906_155936_06618e\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260906_155936_06618e,FULL_INTELLIGENCE,"Creator Workflows, DIY and Entertainment",5,18,205559,12719,parent_group_package_boundary,SDJD85dLWwk,"The Only Free AI Tool Everyone Should Use, and it is Open Source","Build a Private AI Second Brain with Markdown, GitHub, MCP and API Access",Hasan Aboul Hasan,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260906_155925_b5700b\packages\vh_full_intelligence_20260906_155936_06618e\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260906_155936_06618e,FULL_INTELLIGENCE,"Creator Workflows, DIY and Entertainment",6,18,205559,14787,parent_group_package_boundary,TazjcZrTl7Y,"FREE UNLIMITED Claude Code (No NVIDIA NIM, No Ollama!) - Fastest Responses [2026]",Route Claude Code Through OpenCode Zen and a Free MiniMax Model,Danish Sofi,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260906_155925_b5700b\packages\vh_full_intelligence_20260906_155936_06618e\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260906_155936_06618e,FULL_INTELLIGENCE,"Creator Workflows, DIY and Entertainment",7,18,205559,17126,parent_group_package_boundary,V_t51u1tBJc,"How I Make $24,937/mo Posting YouTube Shorts (Using Claude AI)","Faceless YouTube Shorts Workflow with Claude, VidIQ and Viblo",Kellan Henneberry,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260906_155925_b5700b\packages\vh_full_intelligence_20260906_155936_06618e\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260906_155936_06618e,FULL_INTELLIGENCE,"Creator Workflows, DIY and Entertainment",8,18,205559,18820,parent_group_package_boundary,_9YXliQTAkg,How To Create VOX STYLE Animation 100% FREE (NO PAID TOOLS),"Create Vox-Style Documentary Animations with ChatGPT, Google Flow, AI Voice and CapCut",Mark Ai Guy,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260906_155925_b5700b\packages\vh_full_intelligence_20260906_155936_06618e\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260906_155936_06618e,FULL_INTELLIGENCE,"Creator Workflows, DIY and Entertainment",9,18,205559,6746,parent_group_package_boundary,_uLdo-Buoz8,Create This New Ai Niche & Go Viral In 48hrs | 100% FREE Tools,Generate Satisfying Wooden-Car Transformation Shorts with ChatGPT and Google Flow,Mark Ai Guy,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260906_155925_b5700b\packages\vh_full_intelligence_20260906_155936_06618e\CHATGPT_PACKAGE.json
1,vh_full_intelligence_20260906_155936_06618e,FULL_INTELLIGENCE,"Creator Workflows, DIY and Entertainment",10,18,205559,27530,parent_group_package_boundary,kYPAlvnRiiI,"Claude + ChatGPT = $57,152 In 90 Days","Build a Faceless Facts Shorts Channel with Claude, ChatGPT, VidIQ and Viblo",Kellan Henneberry,TRANSCRIPT_AVAILABLE,A,D:\YT GUi\downloads\data\chatgpt\exchange\outgoing\group_similar\batches\vh_batch_set_20260906_155925_b5700b\packages\vh_full_intelligence_20260906_155936_06618e\CHATGPT_PACKAGE.json
