video_id,actual_title,title,channel,upload_date,library_category,youtube_category,transcript_available
-9t8G3r8HrA,5 Brands That Fooled Us with their Cheap Marketing (Shocking Reality),5 Brands That Fooled Us with their Cheap Marketing (Shocking Reality),Fit Tuber,2020-04-24,Howto & Style,Howto & Style,True
-QPF6OezA0Y,How to Detox Your Body in 10 Minutes (MY DETOX SECRET),How to Detox Your Body in 10 Minutes (MY DETOX SECRET),Fit Tuber,2018-12-28,Howto & Style,Howto & Style,True
-Re6Mk--uxw,TRICEP WORKOUT - Workout at Home | Episode 2 - TRICEPS | Without Equipment,TRICEP WORKOUT - Workout at Home Episode 2 - TRICEPS Without Equipment,Fit Tuber,2016-11-22,Sports,Sports,True
-X5j5EBLNv8,7 Healthy & Easy Restaurant Style Recipes You Must Try (Vegetarian) | Fit Tuber,7 Healthy & Easy Restaurant Style Recipes You Must Try (Vegetarian),Fit Tuber,2020-03-06,Howto & Style,Howto & Style,True
-fYoE_jIbNU,Veg vs Non Veg | Which is Better? (or Vegan?),Veg vs Non Veg Which is Better (or Vegan ),Fit Tuber,2020-02-21,Howto & Style,Howto & Style,True
-wJpoCmMcCY,Don't Buy AI Tools! Use These 8 FREE Google Alternatives Instead,Don't Buy AI Tools Use These 8 FREE Google Alternatives Instead,WsCube Tech,2026-08-01,Education,Education,True
055dZcV9nLs,5 Natural Sunscreens in India in Budget (Not Sponsored) ft @beyounick,5 Natural Sunscreens in India in Budget ( ) ft,Fit Tuber,2021-03-19,Howto & Style,Howto & Style,True
09W4jwgSHzI,5 Amazing Dabur Products You Should Try - NOT SPONSORED,5 Amazing Dabur Products You Should Try,Fit Tuber,2018-09-21,Howto & Style,Howto & Style,True
0FdtR6dRyBw,"How to Look Younger for your age? (Hair fall, Pigmentation, Dark Circles, Body pain and more)","How to Look Younger for your age (Hair fall, Pigmentation, Dark Circles, Body pain and more)",Fit Tuber,2023-01-13,Howto & Style,Howto & Style,True
0HgLywUBhzI,15 Instant Hair Colours in India Ranked from Worst To Best,15 Instant Hair Colours in India Ranked from Worst To Best,Fit Tuber,2018-07-13,Howto & Style,Howto & Style,True
0ZnNOVzYY3Q,"5 Proven Ways to Reduce Stomach Gas, Acidity & IBS","5 Proven Ways to Reduce Stomach Gas, Acidity & IBS",Fit Tuber,2025-10-31,Howto & Style,Howto & Style,True
0aBAqHcHpu8,Do This to Clear Your Stomach Every Morning,Do This to Clear Your Stomach Every Morning,Fit Tuber,2025-08-08,Howto & Style,Howto & Style,True
0mrrZYTvQ44,Homemade Peanut Butter Recipe   Easy|Healthy|Tasty,Homemade Peanut Butter Recipe Easy Healthy Tasty,Fit Tuber,2016-08-22,Howto & Style,Howto & Style,True
110G3GvaZns,7 Quick & Healthy Evening Snacks For the Week (Vegetarian),7 Quick & Healthy Evening Snacks For the Week (Vegetarian),Fit Tuber,2019-08-09,Howto & Style,Howto & Style,False
11vCt2JtHeE,12 Weight Loss Tips Ranked from Worst to Best,12 Weight Loss Tips Ranked from Worst to Best,Fit Tuber,2018-06-29,Howto & Style,Howto & Style,True
1FU6KwaSw0E,How to Fix Your Body Posture (No More Slouching!),How to Fix Your Body Posture (No More Slouching ),Fit Tuber,2021-04-30,Howto & Style,Howto & Style,True
1Zgnl189KcM,Soak and Eat These 4 Things Every Morning 🔥,Soak and Eat These 4 Things Every Morning,Fit Tuber,2024-04-05,Howto & Style,Howto & Style,True
1kDDmIWz15g,BACK WORKOUT - Workout at Home | Episode 6 - BACK | Without Equipment,BACK WORKOUT - Workout at Home Episode 6 - BACK Without Equipment,Fit Tuber,2016-12-15,Sports,Sports,True
1kIVVEeivy0,"How to Remove Dark Spots and Get Clear Skin? (Pigmentation, Dark Underarms, Acne scars & more)","How to Remove Dark Spots and Get Clear Skin (Pigmentation, Dark Underarms, Acne scars & more)",Fit Tuber,2023-07-14,Howto & Style,Howto & Style,True
1rb-RuJjyGo,DANDRUFF - The Permanent Solution Naturally at Home  (Men & Women),DANDRUFF - The Permanent Solution Naturally at Home  (Men & Women),Fit Tuber,2019-01-25,Howto & Style,Howto & Style,False
1tjf8ULIWzM,The Entire Targaryen Family Tree Explained,The Entire Targaryen Family Tree Explained,Elemair,2026-04-08,People & Blogs,People & Blogs,True
2-QNs0K8jqs,TOP 5 Foods to GET PREGNANT FAST Naturally,TOP 5 Foods to GET PREGNANT FAST Naturally,Fit Tuber,2024-07-26,Howto & Style,Howto & Style,True
2e-Z0-hjq8Y,5 Amazing Benefits of Vitamin E,5 Amazing Benefits of Vitamin E,Fit Tuber,2024-08-23,Howto & Style,Howto & Style,True
2ruV2AQrCSw,5 Amazing Hair Oils in India under Rs 249 that You Should Try (Not Sponsored),5 Amazing Hair Oils in India under Rs 249 that You Should Try ( ),Fit Tuber,2021-08-13,Howto & Style,Howto & Style,True
