video_id,actual_title,title,channel,upload_date,library_category,youtube_category,transcript_available,transcript_characters,video_duration_seconds,video_type
-9t8G3r8HrA,5 Brands That Fooled Us with their Cheap Marketing (Shocking Reality),5 Brand Marketing Campaigns Critiqued for Misleading Consumer Messaging,Fit Tuber,2020-04-24,Howto & Style,Howto & Style,True,13184,0.0,full_youtube_video
-QPF6OezA0Y,How to Detox Your Body in 10 Minutes (MY DETOX SECRET),Oil Pulling in 10–20 Minutes: Coconut or Sesame Oil for Oral Care and Claimed Detox Benefits,Fit Tuber,2018-12-28,Howto & Style,Howto & Style,True,6877,0.0,full_youtube_video
-Re6Mk--uxw,TRICEP WORKOUT - Workout at Home | Episode 2 - TRICEPS | Without Equipment,No-Equipment Triceps Workout at Home,Fit Tuber,2016-11-22,Sports,Sports,True,140,0.0,full_youtube_video
-X5j5EBLNv8,7 Healthy & Easy Restaurant Style Recipes You Must Try (Vegetarian) | Fit Tuber,"7 Homemade Restaurant-Style Vegetarian Treats: Momos, Thai Green Curry, Pizza, Honey Chili Potato, Paneer Sandwich, Past",Fit Tuber,2020-03-06,Howto & Style,Howto & Style,True,14241,0.0,full_youtube_video
-fYoE_jIbNU,Veg vs Non Veg | Which is Better? (or Vegan?),"Vegetarian vs Non-Vegetarian vs Vegan Diets: Protein, Health, Ayurveda and Ethics",Fit Tuber,2020-02-21,Howto & Style,Howto & Style,True,8565,0.0,full_youtube_video
-wJpoCmMcCY,Don't Buy AI Tools! Use These 8 FREE Google Alternatives Instead,"8 Free Google AI Tools for Learning, Research, App Building, Automation, Design and Filmmaking",WsCube Tech,2026-08-01,Education,Education,True,14270,0.0,full_youtube_video
055dZcV9nLs,5 Natural Sunscreens in India in Budget (Not Sponsored) ft @beyounick,"Budget Sunscreens in India: Aroma Magic, Svarasya, The Moms Co. Plus Karanja and Wheat-Germ Oil Claims",Fit Tuber,2021-03-19,Howto & Style,Howto & Style,True,11860,0.0,full_youtube_video
09W4jwgSHzI,5 Amazing Dabur Products You Should Try - NOT SPONSORED,"5 Dabur Products Reviewed: Hajmola, Badam Tail, Lal Dant Manjan, Ashwagandha Lehya and Chyawanprash",Fit Tuber,2018-09-21,Howto & Style,Howto & Style,True,8245,0.0,full_youtube_video
0FdtR6dRyBw,"How to Look Younger for your age? (Hair fall, Pigmentation, Dark Circles, Body pain and more)","Castor Oil Uses for Hair, Skin, Pain and Constipation: Useful Topical Ideas with Major Evidence Limits",Fit Tuber,2023-01-13,Howto & Style,Howto & Style,True,9151,0.0,full_youtube_video
0HgLywUBhzI,15 Instant Hair Colours in India Ranked from Worst To Best,15 Instant Hair Colours in India Ranked by Ingredients — Historical 2018 Review,Fit Tuber,2018-07-13,Howto & Style,Howto & Style,True,5767,0.0,full_youtube_video
0ZnNOVzYY3Q,"5 Proven Ways to Reduce Stomach Gas, Acidity & IBS","IBS Food Triggers and Alternatives: Wheat, Raw Foods, Legumes, Dairy, Millets, Bananas and Moong Dal",Fit Tuber,2025-10-31,Howto & Style,Howto & Style,True,17890,0.0,full_youtube_video
0aBAqHcHpu8,Do This to Clear Your Stomach Every Morning,"Constipation Routine: Warm Fluids, Psyllium, Fiber, Better Toilet Posture, Figs, Walking and Earlier Dinner",Fit Tuber,2025-08-08,Howto & Style,Howto & Style,True,19978,0.0,full_youtube_video
0mrrZYTvQ44,Homemade Peanut Butter Recipe   Easy|Healthy|Tasty,"Homemade Peanut Butter with Roasted Peanuts, Flaxseed and Cinnamon",Fit Tuber,2016-08-22,Howto & Style,Howto & Style,True,1840,0.0,full_youtube_video
110G3GvaZns,7 Quick & Healthy Evening Snacks For the Week (Vegetarian),7 Quick & Healthy Evening Snacks For the Week (Vegetarian),Fit Tuber,2019-08-09,Howto & Style,Howto & Style,False,0,0.0,full_youtube_video
11vCt2JtHeE,12 Weight Loss Tips Ranked from Worst to Best,"12 Weight-Loss Tips Ranked: Avoid Spot Reduction and Fat Burners; Prioritize Balanced Meals, Whole Foods and Mindful Eat",Fit Tuber,2018-06-29,Howto & Style,Howto & Style,True,9850,0.0,full_youtube_video
1FU6KwaSw0E,How to Fix Your Body Posture (No More Slouching!),"Posture Guide: Rounded Shoulders, Pelvic Tilt, Forward Head, Desk Setup and Sleep Position",Fit Tuber,2021-04-30,Howto & Style,Howto & Style,True,10362,0.0,full_youtube_video
1Zgnl189KcM,Soak and Eat These 4 Things Every Morning 🔥,"Soak Almonds, Walnuts, Figs and Raisins Overnight: Morning Routine and Claimed Benefits",Fit Tuber,2024-04-05,Howto & Style,Howto & Style,True,13376,0.0,full_youtube_video
1kDDmIWz15g,BACK WORKOUT - Workout at Home | Episode 6 - BACK | Without Equipment,No-Equipment Back Workout at Home,Fit Tuber,2016-12-15,Sports,Sports,False,0,0.0,full_youtube_video
1kIVVEeivy0,"How to Remove Dark Spots and Get Clear Skin? (Pigmentation, Dark Underarms, Acne scars & more)","Alum for Dark Spots and Skin Concerns: Uses, Method and Important Irritation Limits",Fit Tuber,2023-07-14,Howto & Style,Howto & Style,True,9015,0.0,full_youtube_video
1rb-RuJjyGo,DANDRUFF - The Permanent Solution Naturally at Home  (Men & Women),DANDRUFF - The Permanent Solution Naturally at Home  (Men & Women),Fit Tuber,2019-01-25,Howto & Style,Howto & Style,False,0,0.0,full_youtube_video
